지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
155,창원,2012-03-29,13.1,5.7,18.2
155,창원,2012-03-30,14.6,11.4,16.6
155,창원,2012-03-31,10,5.8,14.5
155,창원,2012-04-01,7.5,1.7,13.4
155,창원,2012-04-02,11.6,3.9,16.5
155,창원,2012-04-03,10.5,4.8,16.4
155,창원,2012-04-04,10.7,2,16.8
155,창원,2012-04-05,11.6,6.9,17.8
155,창원,2012-04-06,9.6,2.7,16.6
155,창원,2012-04-07,8.3,2.8,15.2
155,창원,2012-04-08,13.9,5.7,21.6
155,창원,2012-04-09,16.6,13.2,22.5
155,창원,2012-04-10,14.3,12.1,17.8
155,창원,2012-04-11,15.8,11.7,21.8
155,창원,2012-04-12,14.3,8.3,19.7
155,창원,2012-04-13,12.6,10.3,15.3
155,창원,2012-04-14,14.3,10.2,21.2
155,창원,2012-04-15,15.9,10.7,22.5
155,창원,2012-04-16,16.8,11.5,24.1
155,창원,2012-04-17,13.6,9.7,18.4
155,창원,2012-04-18,13.7,9.5,19.4
155,창원,2012-04-19,13.6,10.8,16.7
155,창원,2012-04-20,14.6,12.4,17.5
155,창원,2012-04-21,14.5,12.9,16.1
155,창원,2012-04-22,15.3,12.2,21.1
155,창원,2012-04-23,16.2,9.9,22.6
155,창원,2012-04-24,18.6,12.4,25.8
155,창원,2012-04-25,14.8,12.6,18.1
155,창원,2012-04-26,16.1,11.3,21.3
155,창원,2012-04-27,15.2,8.7,21.5
155,창원,2012-04-28,16.2,9,23.2
155,창원,2012-04-29,16.6,12.6,20.2
155,창원,2012-04-30,17.4,15.2,18.6
155,창원,2012-05-01,18.3,16.7,21
155,창원,2012-05-02,18.5,16.2,20.7
155,창원,2012-05-03,16.6,13.9,20.8
155,창원,2012-05-04,18.6,13.4,26.5
155,창원,2012-05-05,24.3,15.4,30.9
155,창원,2012-05-06,21,16.3,28
155,창원,2012-05-07,20.1,13.7,27.7
155,창원,2012-05-08,19.5,15.5,24.9
155,창원,2012-05-09,18.5,14.7,27
155,창원,2012-05-10,16.2,14.2,19.6
155,창원,2012-05-11,14.5,13.4,16.9
155,창원,2012-05-12,14,10.2,18.4
155,창원,2012-05-13,15.7,11.6,19.7
155,창원,2012-05-14,16.2,14.3,17.2
155,창원,2012-05-15,19.6,15.7,26
155,창원,2012-05-16,19.3,13.3,24.8
155,창원,2012-05-17,19.6,15.6,25.6
155,창원,2012-05-18,17.4,12.6,25.5
155,창원,2012-05-19,17.5,13.8,22
155,창원,2012-05-20,19.1,13.1,25.2
155,창원,2012-05-21,21.1,15.2,26.5
155,창원,2012-05-22,19.8,16,26.7
155,창원,2012-05-23,21.2,15.3,28.7
155,창원,2012-05-24,21.9,17.3,27.7
155,창원,2012-05-25,19.8,17.3,23.6
155,창원,2012-05-26,20.6,15.7,28.4
155,창원,2012-05-27,22.2,15.6,29.7
155,창원,2012-05-28,20.1,17.1,24.6
155,창원,2012-05-29,21,15.4,27.9
155,창원,2012-05-30,19.3,18.1,21.2
155,창원,2012-05-31,19.1,16.4,23.9
155,창원,2012-06-01,19.4,15.5,24.2
155,창원,2012-06-02,20.9,16.8,26.6
155,창원,2012-06-03,19.9,16.2,25.3
155,창원,2012-06-04,21.1,16.4,25.6
155,창원,2012-06-05,22.9,19.1,28.8
155,창원,2012-06-06,23.6,19,30.1
155,창원,2012-06-07,22.7,19.7,28.1
155,창원,2012-06-08,20,19,21.6
155,창원,2012-06-09,20.6,18,24.6
155,창원,2012-06-10,21,17.5,26
155,창원,2012-06-11,21,17.6,24.7
155,창원,2012-06-12,23.1,19.6,27.3
155,창원,2012-06-13,22.1,18.9,26.7
155,창원,2012-06-14,21.5,17.7,24.9
155,창원,2012-06-15,20.7,18.8,22.7
155,창원,2012-06-16,22.1,19.6,26.3
155,창원,2012-06-17,23.3,18.6,28.4
155,창원,2012-06-18,20.7,19.3,23.6
155,창원,2012-06-19,21.8,19.7,25.9
155,창원,2012-06-20,21.2,19.6,23.1
155,창원,2012-06-21,23.5,19.1,27.5
155,창원,2012-06-22,22.3,18.9,26.7
155,창원,2012-06-23,22.7,19.4,26.2
155,창원,2012-06-24,22.7,19.8,24.7
155,창원,2012-06-25,22.7,19.6,26.4
155,창원,2012-06-26,21.4,20.4,23
155,창원,2012-06-27,20.7,19.9,21.9
155,창원,2012-06-28,23.1,19.7,28.6
155,창원,2012-06-29,22.3,18.7,26.7
155,창원,2012-06-30,24.4,21.4,26.2
155,창원,2012-07-01,24.6,22,29.7
155,창원,2012-07-02,24.6,21,29.7
155,창원,2012-07-03,24.8,21.6,30.3
155,창원,2012-07-04,25.7,22.9,29.9
155,창원,2012-07-05,24.2,22.8,26.7
155,창원,2012-07-06,24.9,23.3,26.5
155,창원,2012-07-07,22.1,20.5,25.8
155,창원,2012-07-08,22.7,20.1,26.5
155,창원,2012-07-09,23.7,21.2,27.5
155,창원,2012-07-10,23.8,22.2,26.8
155,창원,2012-07-11,24.6,22.5,26
155,창원,2012-07-12,26,22.7,30.6
155,창원,2012-07-13,24.5,22.9,26.2
155,창원,2012-07-14,23.1,22,25.4
155,창원,2012-07-15,25.2,21.7,26.9
155,창원,2012-07-16,24.3,23,27.4
155,창원,2012-07-17,24.9,22.5,28.1
155,창원,2012-07-18,27,25.1,30.2
155,창원,2012-07-19,25.9,25,27.8
155,창원,2012-07-20,27.2,24.6,31.4
155,창원,2012-07-21,25.5,23.4,29.5
155,창원,2012-07-22,25.8,24,28.5
155,창원,2012-07-23,27.7,24.4,31.8
155,창원,2012-07-24,28.4,24.1,32.8
155,창원,2012-07-25,28.9,24.4,34.1
155,창원,2012-07-26,28.5,24.7,33.7
155,창원,2012-07-27,28.5,24.4,33.3
155,창원,2012-07-28,29.5,25.7,34.5
155,창원,2012-07-29,29.7,25.7,34.8
155,창원,2012-07-30,29.2,25.8,33.7
155,창원,2012-07-31,29.1,25.1,34
155,창원,2012-08-01,30.2,25.2,35.5
155,창원,2012-08-02,30,28,32.7
155,창원,2012-08-03,30,27.2,33.3
155,창원,2012-08-04,30.1,26.5,34.6
155,창원,2012-08-05,29.4,25.7,35
155,창원,2012-08-06,29.7,26.7,33.4
155,창원,2012-08-07,28.8,25.1,33.4
155,창원,2012-08-08,27.2,24.4,32.1
155,창원,2012-08-09,27.4,24.1,32.9
155,창원,2012-08-10,27.5,25.1,32
155,창원,2012-08-11,28.4,24.9,32.3
155,창원,2012-08-12,28.2,25.5,32.9
155,창원,2012-08-13,26.9,25.6,28.2
155,창원,2012-08-14,26.2,24.4,28.2
155,창원,2012-08-15,28,25.3,31
155,창원,2012-08-16,28.4,25.7,33
155,창원,2012-08-17,27.5,24.8,30.9
155,창원,2012-08-18,28.4,26,33.1
155,창원,2012-08-19,28.5,26.1,32.2
155,창원,2012-08-20,27.6,24.4,30.7
155,창원,2012-08-21,27.6,25.2,30.7
155,창원,2012-08-22,24.5,23,26.5
155,창원,2012-08-23,23,21.8,24
155,창원,2012-08-24,23.7,22,25.7
155,창원,2012-08-25,26.3,22.9,30.8
155,창원,2012-08-26,28.1,23.7,33
155,창원,2012-08-27,28.7,26.1,31.4
155,창원,2012-08-28,27,25.4,28.9
155,창원,2012-08-29,27.3,25,31.1
155,창원,2012-08-30,24.7,21.3,27.3
155,창원,2012-08-31,23.8,20.3,29.1
155,창원,2012-09-01,23.4,20,28.7
155,창원,2012-09-02,24.1,20.8,29.1
155,창원,2012-09-03,24.4,21.7,28.8
155,창원,2012-09-04,25.2,21.7,30
155,창원,2012-09-05,24.8,22.6,28.7
155,창원,2012-09-06,23.7,19.9,29.5
155,창원,2012-09-07,24.4,20.3,28.3
155,창원,2012-09-08,24.4,20.3,28.4
155,창원,2012-09-09,21,19.5,23.6
155,창원,2012-09-10,21.3,18.1,25.7
155,창원,2012-09-11,21.8,17.7,27.6
155,창원,2012-09-12,21.8,17.2,27.3
155,창원,2012-09-13,23.8,20.5,27.7
155,창원,2012-09-14,22.6,21.1,23.7
155,창원,2012-09-15,20.2,18.5,22.3
155,창원,2012-09-16,20.2,19.1,21.4
155,창원,2012-09-17,21.7,19,26
155,창원,2012-09-18,21.3,18.2,26.2
155,창원,2012-09-19,20.8,16.3,27.1
155,창원,2012-09-20,20.8,16.5,25.9
155,창원,2012-09-21,20.7,16.9,26.2
155,창원,2012-09-22,21,17.1,25.8
155,창원,2012-09-23,21,17,27
155,창원,2012-09-24,20.8,16.5,26.3
155,창원,2012-09-25,21,15.9,26.5
155,창원,2012-09-26,20.6,15.6,25.8
155,창원,2012-09-27,21,16.7,25.6
155,창원,2012-09-28,20.7,16.9,25.4
155,창원,2012-09-29,19.9,15.7,24.6
155,창원,2012-09-30,18.9,15.1,23.1
155,창원,2012-10-01,19,14.9,25
155,창원,2012-10-02,18.7,15.1,25.2
155,창원,2012-10-03,19.2,14.4,24.7
155,창원,2012-10-04,19.4,14.6,25.1
155,창원,2012-10-05,19.4,16.1,23.5
155,창원,2012-10-06,20,17.2,24.9
155,창원,2012-10-07,18.3,13.8,24.5
155,창원,2012-10-08,17.3,12.8,22.5
155,창원,2012-10-09,17.2,12.5,23.3
155,창원,2012-10-10,18.8,13.5,24.2
155,창원,2012-10-11,16.4,13.1,21.9
155,창원,2012-10-12,16.3,11.9,22.6
155,창원,2012-10-13,17,13.1,23
155,창원,2012-10-14,18,13.6,23.4
155,창원,2012-10-15,17.2,13.4,23.5
155,창원,2012-10-16,17.6,12.8,23.9
155,창원,2012-10-17,16.5,11.7,23.1
155,창원,2012-10-18,13.5,9.3,18.5
155,창원,2012-10-19,15.3,10.8,20.9
155,창원,2012-10-20,15.6,11,22.1
155,창원,2012-10-21,16.9,11.2,23.8
155,창원,2012-10-22,17.5,14,22.6
155,창원,2012-10-23,14.4,10.3,19.3
155,창원,2012-10-24,14.2,9,19.2
155,창원,2012-10-25,15.1,10,21.4
155,창원,2012-10-26,16.6,11.7,22.3
155,창원,2012-10-27,17,15.2,19.5
155,창원,2012-10-28,18.6,13.9,23.7
155,창원,2012-10-29,14.7,10.6,20.6
155,창원,2012-10-30,14.1,10.3,17.1
155,창원,2012-10-31,11.4,8.7,16.1
155,창원,2012-11-01,10.3,6.5,14.3
155,창원,2012-11-02,9,5.1,14.5
155,창원,2012-11-03,11.1,5.1,17.2
155,창원,2012-11-04,12.3,9.5,15.2
155,창원,2012-11-05,13,9.7,17.3
155,창원,2012-11-06,12.3,8.8,16.3
155,창원,2012-11-07,12.8,8.7,18.3
155,창원,2012-11-08,12.9,8.3,16.8
155,창원,2012-11-09,13.9,9.6,18.4
155,창원,2012-11-10,14.3,12.7,16.5
155,창원,2012-11-11,12.3,8.7,18.2
155,창원,2012-11-12,11,6.7,16.3
155,창원,2012-11-13,10.4,7.7,14.9
155,창원,2012-11-14,7.4,5.3,11
155,창원,2012-11-15,7.3,3.6,13
155,창원,2012-11-16,9.3,3.9,13.5
155,창원,2012-11-17,9.8,5.3,14.2
155,창원,2012-11-18,7.6,4.4,12.9
155,창원,2012-11-19,8.5,3.2,14.9
155,창원,2012-11-20,6,2.7,8.3
155,창원,2012-11-21,7.2,2.1,11.3
155,창원,2012-11-22,9.3,5.2,13.5
155,창원,2012-11-23,9.8,7.4,13
155,창원,2012-11-24,6.2,3.5,9.6
155,창원,2012-11-25,6.3,1.2,10.8
155,창원,2012-11-26,5.9,3.3,10.5
155,창원,2012-11-27,3.9,.5,8.4
155,창원,2012-11-28,9.1,2,16.1
155,창원,2012-11-29,6.8,4.1,10.3
155,창원,2012-11-30,5.6,3.1,9
155,창원,2012-12-01,5.1,.9,8.4
155,창원,2012-12-02,5.8,4.1,7.1
155,창원,2012-12-03,7.3,3.3,11.9
155,창원,2012-12-04,3.7,1.2,7.2
155,창원,2012-12-05,3.6,.7,6.8
155,창원,2012-12-06,-.1,-3.1,2.2
155,창원,2012-12-07,.4,-1.5,2.4
155,창원,2012-12-08,.4,-2.8,3.5
155,창원,2012-12-09,-2.3,-5.9,1.6
155,창원,2012-12-10,-1.4,-4.9,2.7
155,창원,2012-12-11,-.1,-4,4.9
155,창원,2012-12-12,.6,-3.8,6.1
155,창원,2012-12-13,3.1,-2.8,10.3
155,창원,2012-12-14,5.1,1.5,12.6
155,창원,2012-12-15,8.2,5.8,10.5
155,창원,2012-12-16,7.9,3.8,12.4
155,창원,2012-12-17,6.2,3.3,9.7
155,창원,2012-12-18,.4,-2.8,4
155,창원,2012-12-19,-1.2,-5.1,2.7
155,창원,2012-12-20,2.3,-2.4,6.5
155,창원,2012-12-21,2,.8,3.3
155,창원,2012-12-22,3.5,.6,5.6
155,창원,2012-12-23,-1.7,-5.7,1.6
155,창원,2012-12-24,-3.9,-8,-.2
155,창원,2012-12-25,-.3,-4.3,5.6
155,창원,2012-12-26,-3.1,-6.6,1.5
155,창원,2012-12-27,0,-5.9,4.9
155,창원,2012-12-28,.6,-2.1,2.8
155,창원,2012-12-29,2.3,-.7,6.3
155,창원,2012-12-30,-.2,-4.7,3.1
155,창원,2012-12-31,-2.7,-6.4,1.7
155,창원,2013-01-01,1.2,-4.8,7.3
155,창원,2013-01-02,-.7,-6.7,3.8
155,창원,2013-01-03,-6.1,-8,-3.1
155,창원,2013-01-04,-4.1,-8.8,1.2
155,창원,2013-01-05,-2,-6.6,2.2
155,창원,2013-01-06,0,-2.4,4.5
155,창원,2013-01-07,.6,-3.9,5.8
155,창원,2013-01-08,1.5,-.7,5.2
155,창원,2013-01-09,-1.7,-4.7,1.1
155,창원,2013-01-10,-3,-6.1,.8
155,창원,2013-01-11,-.2,-3.9,4.4
155,창원,2013-01-12,3.4,-1.7,9.9
155,창원,2013-01-13,2.9,.5,4.8
155,창원,2013-01-14,4.2,.4,9.2
155,창원,2013-01-15,2.3,-1.7,7.4
155,창원,2013-01-16,3.4,-.5,8.5
155,창원,2013-01-17,.1,-2.2,3.4
155,창원,2013-01-18,0,-3.9,6.1
155,창원,2013-01-19,2.2,-3,7.7
155,창원,2013-01-20,3.7,-.8,8.1
155,창원,2013-01-21,4.7,3.1,6.2
155,창원,2013-01-22,5.8,4,7.2
155,창원,2013-01-23,4.3,2.5,5.4
155,창원,2013-01-24,3.4,-.7,7.9
155,창원,2013-01-25,0,-2.7,3.6
155,창원,2013-01-26,-1.1,-4.6,3.6
155,창원,2013-01-27,-1.9,-5.7,3.6
155,창원,2013-01-28,.4,-5.8,7.4
155,창원,2013-01-29,4.3,-1.5,10
155,창원,2013-01-30,5.9,.7,11.8
155,창원,2013-01-31,7.9,3.3,12.8
155,창원,2013-02-01,11.1,7.6,14
155,창원,2013-02-02,8,3.6,11.9
155,창원,2013-02-03,3.1,.1,5.5
155,창원,2013-02-04,4.4,.8,9.2
155,창원,2013-02-05,3,1,5.7
155,창원,2013-02-06,4.4,.9,8.1
155,창원,2013-02-07,-1.6,-7.8,2
155,창원,2013-02-08,-5.4,-11,-.6
155,창원,2013-02-09,-1.8,-6.2,2.7
155,창원,2013-02-10,1.9,-3.2,7.4
155,창원,2013-02-11,.9,-2.2,5.8
155,창원,2013-02-12,.6,-.7,2.2
155,창원,2013-02-13,1.3,-2.7,6.5
155,창원,2013-02-14,4.6,-.6,9.6
155,창원,2013-02-15,5.1,-.1,9.6
155,창원,2013-02-16,1,-3.2,6.6
155,창원,2013-02-17,2.6,-.6,6
155,창원,2013-02-18,4.9,2.2,6.8
155,창원,2013-02-19,3.1,-.1,6.5
155,창원,2013-02-20,.7,-3.2,5.2
155,창원,2013-02-21,3,-2.1,8.4
155,창원,2013-02-22,5.2,.3,10.8
155,창원,2013-02-23,2.9,-1.1,9
155,창원,2013-02-24,4.3,-1.2,10
155,창원,2013-02-25,6.5,.8,12.2
155,창원,2013-02-26,6.9,4.6,10.1
155,창원,2013-02-27,9.7,3.3,15.8
155,창원,2013-02-28,10.4,5,15.2
155,창원,2013-03-01,8.6,.5,13.2
155,창원,2013-03-02,2.4,-1.8,8.6
155,창원,2013-03-03,4.7,-.4,11.2
155,창원,2013-03-04,6.8,.9,12.8
155,창원,2013-03-05,7.7,1.2,13.6
155,창원,2013-03-06,9.1,2.4,17.2
155,창원,2013-03-07,11.9,8.6,16.3
155,창원,2013-03-08,12,4.4,18.8
155,창원,2013-03-09,14,6.6,20.3
155,창원,2013-03-10,11.6,5,16.8
155,창원,2013-03-11,6.9,1.7,12.8
155,창원,2013-03-12,10.4,3.4,15.8
155,창원,2013-03-13,12.3,6,17.3
155,창원,2013-03-14,6,3.5,9.4
155,창원,2013-03-15,8,1.9,14.7
155,창원,2013-03-16,11,5.4,18
155,창원,2013-03-17,10.7,5.4,15.9
155,창원,2013-03-18,13.9,10.8,17.8
155,창원,2013-03-19,13.1,7.8,17.9
155,창원,2013-03-20,11,3.1,16.4
155,창원,2013-03-21,5.2,-1.1,11.4
155,창원,2013-03-22,8.8,2.5,14
155,창원,2013-03-23,9.5,5.5,13.4
155,창원,2013-03-24,11.1,5.8,16.2
155,창원,2013-03-25,8.4,5.3,12.6
155,창원,2013-03-26,7.8,2.6,12.4
155,창원,2013-03-27,11,6,17.1
155,창원,2013-03-28,13.1,7.1,21
155,창원,2013-03-29,10.7,7.5,16
155,창원,2013-03-30,10.1,5,14.3
155,창원,2013-03-31,9.9,6.8,15.3
155,창원,2013-04-01,11,5.3,16.9
155,창원,2013-04-02,11.4,7.9,18.2
155,창원,2013-04-03,12.2,6.5,20.4
155,창원,2013-04-04,14.3,9.9,19.5
155,창원,2013-04-05,13,7.3,18.4
155,창원,2013-04-06,11.4,4.8,14.4
155,창원,2013-04-07,7.8,4.7,12.3
155,창원,2013-04-08,10.1,2,17.1
155,창원,2013-04-09,10.8,6.4,17.4
155,창원,2013-04-10,7.2,3.2,11.7
155,창원,2013-04-11,9.6,4.2,15.3
155,창원,2013-04-12,9.8,4.3,15.6
155,창원,2013-04-13,12.1,4.8,17.9
155,창원,2013-04-14,15.9,10.1,21.7
155,창원,2013-04-15,11.3,5.8,17
155,창원,2013-04-16,17.6,11.7,22.4
155,창원,2013-04-17,13.8,10.9,18.3
155,창원,2013-04-18,14.2,10.1,20.2
155,창원,2013-04-19,10.5,8.1,15.4
155,창원,2013-04-20,8,6.6,9.4
155,창원,2013-04-21,10.8,5.4,16.5
155,창원,2013-04-22,12.7,6.7,20
155,창원,2013-04-23,11.6,9.4,14.4
155,창원,2013-04-24,17.4,13.5,22.6
155,창원,2013-04-25,15.4,9.7,21.8
155,창원,2013-04-26,14.6,10.4,19.4
155,창원,2013-04-27,13.8,8.8,20.3
155,창원,2013-04-28,15,9.1,21
155,창원,2013-04-29,16.9,11.5,19.2
155,창원,2013-04-30,14.8,9.7,20.3
155,창원,2013-05-01,12.3,10.1,17.2
155,창원,2013-05-02,13.5,10.4,17.2
155,창원,2013-05-03,14.6,9.3,19.1
155,창원,2013-05-04,16,11.5,22.6
155,창원,2013-05-05,17.7,10.9,25.4
155,창원,2013-05-06,20.3,13.9,28.8
155,창원,2013-05-07,16.2,11.7,20.8
155,창원,2013-05-08,15.9,9.7,21.3
155,창원,2013-05-09,18,12.1,23.7
155,창원,2013-05-10,18,15.3,22.7
155,창원,2013-05-11,19.8,13.7,27.9
155,창원,2013-05-12,19.4,13.6,24.4
155,창원,2013-05-13,21.1,14.5,29.2
155,창원,2013-05-14,20.5,13.6,27.3
155,창원,2013-05-15,20.5,15.8,26.2
155,창원,2013-05-16,17.1,14.6,21.9
155,창원,2013-05-17,16.5,12.6,22.1
155,창원,2013-05-18,18.1,11.6,23.6
155,창원,2013-05-19,18.5,16.2,21.8
155,창원,2013-05-20,19.5,16.9,24
155,창원,2013-05-21,19.5,13.4,25.8
155,창원,2013-05-22,21,14,27.2
155,창원,2013-05-23,20.7,16.4,26.3
155,창원,2013-05-24,23,16,32
155,창원,2013-05-25,20,16.4,24.8
155,창원,2013-05-26,20.1,16.4,24.7
155,창원,2013-05-27,20.1,18.5,22.9
155,창원,2013-05-28,20.1,18,22.4
155,창원,2013-05-29,20.4,18.7,26
155,창원,2013-05-30,21.3,17,27.1
155,창원,2013-05-31,20.5,16.7,25.4
155,창원,2013-06-01,20,17.4,24.3
155,창원,2013-06-02,20.8,16.1,27.8
155,창원,2013-06-03,20.3,16.2,25.6
155,창원,2013-06-04,22,16.6,28.4
155,창원,2013-06-05,21.9,17.1,28
155,창원,2013-06-06,21.3,17.5,28
155,창원,2013-06-07,20.5,17.7,24.6
155,창원,2013-06-08,21.3,16.9,26.2
155,창원,2013-06-09,22.3,19.6,25.4
155,창원,2013-06-10,23.2,19.5,26.6
155,창원,2013-06-11,21.5,20.3,24
155,창원,2013-06-12,21.9,20,24.9
155,창원,2013-06-13,21.9,20.8,24.2
155,창원,2013-06-14,21.3,20.3,22.9
155,창원,2013-06-15,24.3,20.5,30
155,창원,2013-06-16,24.8,20.3,30.3
155,창원,2013-06-17,24.5,20.3,31.4
155,창원,2013-06-18,23.7,22.9,25.5
155,창원,2013-06-19,22.5,21.6,24
155,창원,2013-06-20,23.1,21,26.8
155,창원,2013-06-21,22.2,21.2,25.3
155,창원,2013-06-22,22.4,20.5,25.9
155,창원,2013-06-23,21.6,19.9,25
155,창원,2013-06-24,23,19.2,28.4
155,창원,2013-06-25,21.9,20.5,24.5
155,창원,2013-06-26,22.8,20,28.8
155,창원,2013-06-27,22.7,20.5,26.3
155,창원,2013-06-28,23.3,20.2,27.2
155,창원,2013-06-29,23.7,19.7,27.5
155,창원,2013-06-30,24.2,20.6,28
155,창원,2013-07-01,24.8,22.1,28.6
155,창원,2013-07-02,25.2,23.2,27
155,창원,2013-07-03,24.8,23.3,26.9
155,창원,2013-07-04,24.3,23.2,26
155,창원,2013-07-05,24.6,23.2,25.4
155,창원,2013-07-06,24.8,22.9,28.5
155,창원,2013-07-07,24.1,22.6,25.9
155,창원,2013-07-08,26.8,25.5,28.5
155,창원,2013-07-09,27.1,25.2,30.4
155,창원,2013-07-10,27.1,24.9,31.2
155,창원,2013-07-11,27.2,24.5,31.7
155,창원,2013-07-12,27.6,23.2,31.8
155,창원,2013-07-13,28.8,26.1,33
155,창원,2013-07-14,28.3,26.5,31.2
155,창원,2013-07-15,27.7,25.8,31
155,창원,2013-07-16,27.7,24.4,30.8
155,창원,2013-07-17,27.9,25.4,31.6
155,창원,2013-07-18,27.5,23.7,32.2
155,창원,2013-07-19,27.4,23.9,31.3
155,창원,2013-07-20,28.2,24.6,32.4
155,창원,2013-07-21,27.6,25.7,30.2
155,창원,2013-07-22,28.3,25.4,32.9
155,창원,2013-07-23,27,25.8,28.9
155,창원,2013-07-24,26.8,25.2,29.9
155,창원,2013-07-25,27.7,24,33.3
155,창원,2013-07-26,28.4,23.1,34.9
155,창원,2013-07-27,27.6,23.2,32
155,창원,2013-07-28,26.5,23.6,28.8
155,창원,2013-07-29,28.2,26,33.1
155,창원,2013-07-30,27.6,24.8,31.9
155,창원,2013-07-31,28.2,26,30.8
155,창원,2013-08-01,27.8,25.5,31.5
155,창원,2013-08-02,26.7,24.7,30
155,창원,2013-08-03,27.7,25.1,31.8
155,창원,2013-08-04,27.4,24.7,32.8
155,창원,2013-08-05,28,23.8,33
155,창원,2013-08-06,28.7,24.7,33.5
155,창원,2013-08-07,29.7,26.3,35
155,창원,2013-08-08,29,26.4,33.5
155,창원,2013-08-09,29.4,25.7,34.7
155,창원,2013-08-10,30.1,26,36
155,창원,2013-08-11,30.7,26.6,37.1
155,창원,2013-08-12,30,25.6,36
155,창원,2013-08-13,29,23.9,35.2
155,창원,2013-08-14,28.7,24.4,34.8
155,창원,2013-08-15,29,24.7,36.1
155,창원,2013-08-16,28.6,24.3,34.2
155,창원,2013-08-17,28.9,24.5,34.6
155,창원,2013-08-18,29.6,24.7,35.2
155,창원,2013-08-19,30.5,26,36.5
155,창원,2013-08-20,29.5,26.6,35
155,창원,2013-08-21,28.8,25.8,33.4
155,창원,2013-08-22,28.2,25.9,32.9
155,창원,2013-08-23,26.1,25.1,29.7
155,창원,2013-08-24,24.5,23.4,26
155,창원,2013-08-25,25.6,22.4,31.3
155,창원,2013-08-26,25.7,21.5,32
155,창원,2013-08-27,26.9,21.8,33.6
155,창원,2013-08-28,26.3,22.7,31.2
155,창원,2013-08-29,27.7,23.1,32.9
155,창원,2013-08-30,25.3,22.6,28.4
155,창원,2013-08-31,24.9,21.9,28.5
155,창원,2013-09-01,24.7,21.7,29.9
155,창원,2013-09-02,24.4,20.7,30.5
155,창원,2013-09-03,22.6,21.7,24.3
155,창원,2013-09-04,23.5,20.3,28.7
155,창원,2013-09-05,22.7,19.9,26.1
155,창원,2013-09-06,20.3,19.4,22.1
155,창원,2013-09-07,21.1,19.2,24.2
155,창원,2013-09-08,22.4,18.6,28.3
155,창원,2013-09-09,22.8,18.8,28.2
155,창원,2013-09-10,24,19.9,29.3
155,창원,2013-09-11,25.1,21.6,28.7
155,창원,2013-09-12,24.8,22.9,27.4
155,창원,2013-09-13,26.6,23,31.8
155,창원,2013-09-14,24.2,22,28.2
155,창원,2013-09-15,25.5,20.6,30.4
155,창원,2013-09-16,23.7,20.2,28.8
155,창원,2013-09-17,22.7,18.2,28.8
155,창원,2013-09-18,23.8,18.9,29.9
155,창원,2013-09-19,23.9,19.9,29.8
155,창원,2013-09-20,24.1,19.6,31.3
155,창원,2013-09-21,24.8,21,31.1
155,창원,2013-09-22,24.5,21.6,29.8
155,창원,2013-09-23,23.5,20,29.1
155,창원,2013-09-24,24.5,19.7,30.3
155,창원,2013-09-25,22.5,19.2,26.1
155,창원,2013-09-26,20.7,17.7,25.9
155,창원,2013-09-27,20.3,15.2,25.7
155,창원,2013-09-28,21.3,19,25.1
155,창원,2013-09-29,21.9,19.2,25.1
155,창원,2013-09-30,22.9,20.7,26.6
155,창원,2013-10-01,23.2,20.7,28
155,창원,2013-10-02,21.6,19.1,25.3
155,창원,2013-10-03,19.7,15.9,24.5
155,창원,2013-10-04,19.8,14,25.5
155,창원,2013-10-05,21.4,16.5,25.8
155,창원,2013-10-06,23.5,21.5,25
155,창원,2013-10-07,24.5,22.1,28.5
155,창원,2013-10-08,22.4,20.9,23.3
155,창원,2013-10-09,20.9,19.3,22.6
155,창원,2013-10-10,22.2,19.8,24.6
155,창원,2013-10-11,21.6,15.7,27.5
155,창원,2013-10-12,16.8,12.1,22.3
155,창원,2013-10-13,18.4,13.3,24.9
155,창원,2013-10-14,19.6,14.7,26.8
155,창원,2013-10-15,18.4,13.9,24.8
155,창원,2013-10-16,13.5,10.7,18.5
155,창원,2013-10-17,14.3,9.4,19.1
155,창원,2013-10-18,16.5,12.3,21.6
155,창원,2013-10-19,17.3,13.6,21.4
155,창원,2013-10-20,18.9,15.5,24.5
155,창원,2013-10-21,18.3,15.3,22.6
155,창원,2013-10-22,17.8,14.9,21.7
155,창원,2013-10-23,18.6,15.3,23.5
155,창원,2013-10-24,18.3,15.6,23
155,창원,2013-10-25,14.8,11.6,19.4
155,창원,2013-10-26,13.2,9,18.4
155,창원,2013-10-27,13.2,9.1,18.9
155,창원,2013-10-28,13.7,8.2,20.2
155,창원,2013-10-29,14.5,9.4,20.7
155,창원,2013-10-30,15.4,11.7,20.6
155,창원,2013-10-31,14.3,11.2,20.7
155,창원,2013-11-01,16.1,11.3,21.7
155,창원,2013-11-02,17.4,13.2,22.3
155,창원,2013-11-03,17.5,15,21.7
155,창원,2013-11-04,15.2,11.4,19.3
155,창원,2013-11-05,14.2,9.9,20.4
155,창원,2013-11-06,14.6,11,18.7
155,창원,2013-11-07,15.9,11.2,21.6
155,창원,2013-11-08,13.2,8.9,18
155,창원,2013-11-09,13.8,10.1,17.7
155,창원,2013-11-10,13,6.8,18.7
155,창원,2013-11-11,6.7,4.7,10.1
155,창원,2013-11-12,7.2,3.3,11.7
155,창원,2013-11-13,8.3,4.5,13.6
155,창원,2013-11-14,10.1,5.1,16.9
