month,2006-2015,2016-2025,difference_c
1,2.513548387096774,2.203225806451613,-0.31032258064516105
2,4.607943349753695,4.168780788177339,-0.4391625615763557
3,8.604193548387098,9.377419354838711,0.7732258064516131
4,13.394,14.146,0.7520000000000007
5,18.531290322580645,18.543870967741935,0.012580645161289539
6,21.705000000000002,22.296,0.5909999999999975
7,25.11258064516129,26.072258064516127,0.9596774193548363
8,26.413225806451614,27.373870967741937,0.9606451612903228
9,22.444333333333333,23.047666666666665,0.6033333333333317
10,17.506774193548388,17.205161290322582,-0.3016129032258057
11,10.854333333333333,10.887333333333334,0.03300000000000125
12,4.256451612903225,3.8906451612903226,-0.3658064516129027
