date,observed,trend,seasonal,residual,robust_weight
2006-01-01,3.625806451612903,14.657119330803281,-11.35475800192854,0.3234451227381605,0.9724218809122235
2006-02-01,3.7178571428571425,14.685768467440736,-7.855217886442665,-3.112693438140928,0.0
2006-03-01,7.906451612903226,14.713504341215248,-6.479317336469453,-0.3277353918425696,0.9716926988280556
2006-04-01,12.860000000000001,14.73991094135083,-1.5850553821202193,-0.29485555923061035,0.9770183244053533
2006-05-01,17.45483870967742,14.76470034425659,2.965982097130857,-0.27584373171002596,0.9798981396476012
2006-06-01,21.326666666666664,14.787762476032956,6.464635897024935,0.07426829360877463,0.9985425433013992
2006-07-01,23.700000000000003,14.809171678027106,9.00912344064181,-0.11829511866891274,0.9963339224799025
2006-08-01,27.38064516129032,14.829134468178937,11.677068467951928,0.8744422251594557,0.8075227825990452
2006-09-01,21.043333333333333,14.848034360499371,7.58955110803183,-1.3942521351978687,0.5508672720858546
2006-10-01,18.616129032258065,14.866352538870366,3.3501069241637955,0.39966956922390295,0.9581180580633576
2006-11-01,11.486666666666668,14.885331411941904,-4.050472819925299,0.6518080746500647,0.8903412058259581
2006-12-01,4.896774193548388,14.90694116576688,-9.71351068312687,-0.2966562890916222,0.9769449229299852
2007-01-01,4.02258064516129,14.93156766396825,-11.556065406895774,0.6470783880888131,0.8920119531714329
2007-02-01,6.632142857142857,14.926466034865637,-8.172050126415515,-0.12227305130726407,0.9960316102398041
2007-03-01,8.745161290322581,14.912833215583305,-6.428659126621962,0.2609872013612389,0.9820256544634802
2007-04-01,13.223333333333333,14.89210796377881,-1.488974624071561,-0.1798000063739167,0.9913987544531779
2007-05-01,18.46451612903226,14.869334003137213,3.13350005436866,0.4616820715263845,0.9442827082113655
2007-06-01,21.5,14.851405197604542,6.6036878655615086,0.044906936833950084,0.9994686320231418
2007-07-01,23.770967741935483,14.84055276004038,9.363465865955622,-0.4330508840605187,0.950963050399802
2007-08-01,26.60967741935484,14.833714199168904,11.754809333590226,0.021153886595708826,0.9998852039596173
2007-09-01,22.486666666666668,14.829178073182137,7.665065109212228,-0.007576515727697242,0.9999855239026895
2007-10-01,17.13225806451613,14.826610186014012,3.212277209166058,-0.9066293306639395,0.7937494738038546
2007-11-01,10.043333333333333,14.8276730560522,-4.186368653318601,-0.5979710694002662,0.907462193685164
2007-12-01,5.354838709677419,14.8355947176849,-9.892205090555679,0.4114490825481969,0.9554749179519614
2008-01-01,2.929032258064516,14.852781720586828,-11.740222566453983,-0.18352689606832762,0.9910808085856783
2008-02-01,2.548275862068966,14.87776570257116,-8.485611696825696,-3.8438781436764984,0.0
2008-03-01,8.990322580645161,14.90788978557728,-6.371514519084411,0.45394731415229295,0.9460725843303771
2008-04-01,14.1,14.944943743026112,-1.3946024739430345,0.5496587309169225,0.9215646826897474
2008-05-01,18.11935483870968,14.990534058461233,3.302610730462782,-0.17378995021433497,0.9920029204084466
2008-06-01,20.68,15.042272939853103,6.733329842601011,-1.0956027824541135,0.7068955591341448
2008-07-01,26.529032258064515,15.096140336661682,9.703550680303193,1.7293412410996414,0.3637732015776177
2008-08-01,25.81935483870968,15.146900298690042,11.835346769973071,-1.1628922299534352,0.6732437190175613
2008-09-01,23.19,15.185932452468862,7.720912496362302,0.283155051168837,0.9787978228148596
2008-10-01,18.677419354838708,15.208094038060741,3.075144825916911,0.39418049086105533,0.959201793115792
2008-11-01,10.843333333333334,15.21491670901153,-4.3157191141879725,-0.055864261490222944,0.9991764654770645
2008-12-01,5.32258064516129,15.210177152367084,-10.066548859398603,0.17895235219280892,0.991524271970228
2009-01-01,2.329032258064516,15.196994876710828,-11.911447189506992,-0.9565154291393192,0.7719364943724025
2009-02-01,7.2821428571428575,15.178876906473642,-8.791198910454504,0.8944648611237209,0.7990188145417763
2009-03-01,9.451612903225806,15.15526232572197,-6.304457225957824,0.6008078034616595,0.9065330369845314
2009-04-01,14.520000000000001,15.122424849180158,-1.2968465657693466,0.6944217165891899,0.8763397516113689
2009-05-01,19.13225806451613,15.077592049065915,3.4736983345804795,0.580967680869735,0.9124753819754277
2009-06-01,21.923333333333336,15.021209427213613,6.850353951530878,0.05176995458884548,0.9992906828993773
2009-07-01,24.016129032258064,14.955125450774768,10.028056655117144,-0.9670530736338474,0.767264740292141
2009-08-01,25.32903225806452,14.88242650471904,11.908996149459442,-1.462390396113964,0.5128099293039983
2009-09-01,22.613333333333333,14.811427436451543,7.7609621116986425,0.04094378518314734,0.9995523466877212
2009-10-01,18.029032258064515,14.750087393374125,2.940694064010492,0.3382508006798979,0.9698941590688533
2009-11-01,10.546666666666665,14.704055025840038,-4.437645419594038,0.28025706042066467,0.9793015497310606
2009-12-01,4.461290322580646,14.675390735058908,-10.234485331614033,0.020384919135771895,0.9998983519612871
2010-01-01,2.193548387096774,14.661042688246097,-12.076125668794273,-0.39136863235505004,0.95970792753008
2010-02-01,5.132142857142857,14.657129531135865,-9.084486096091528,-0.44050057790148145,0.9491608865537691
2010-03-01,7.858064516129032,14.65942683465651,-6.228552608669403,-0.5728097098580758,0.914841994031326
2010-04-01,11.376666666666667,14.66186447633558,-1.1923915932700568,-2.0928062163988557,0.17530885395920193
2010-05-01,17.687096774193545,14.655793610544572,3.6463326168874874,-0.615029453238515,0.9021704045593117
2010-06-01,22.32,14.635955487871495,6.957383688684468,0.7266608234440373,0.8647935096747085
2010-07-01,25.383870967741935,14.605804441145022,10.334816341205252,0.44325018539166017,0.9485941617675461
2010-08-01,27.729032258064517,14.577129405573887,11.971645341353133,1.1802575111374978,0.6648190959309362
2010-09-01,23.716666666666665,14.559742482404289,7.7894642240322165,1.3674599602301605,0.565269167990532
2010-10-01,17.348387096774193,14.55286437726201,2.8114368160985714,-0.015914096586387316,0.9999341625444533
2010-11-01,9.79,14.550739952733874,-4.547903913477571,-0.21283603925630423,0.9880010915926506
2010-12-01,3.9612903225806453,14.54308071291338,-10.39545548799224,-0.18633490234049432,0.990693408175246
2011-01-01,-1.1,14.522129460942715,-12.238594399619949,-3.3835350613227657,0.0
2011-02-01,5.017857142857143,14.48781104232453,-9.369693112156485,-0.10026078731090138,0.9973515312813117
2011-03-01,7.103225806451612,14.445557879964447,-6.155846801558831,-1.1864852719540036,0.661606200536405
2011-04-01,12.94,14.401375702616082,-1.0842223106664528,-0.37715339194962993,0.9625807833180807
2011-05-01,17.93548387096774,14.363241279777418,3.815352210385308,-0.24310961919498553,0.9844381213112335
