date,"trend=19, robust=True","trend=19, robust=False","trend=25, robust=True","trend=25, robust=False","trend=37, robust=True","trend=37, robust=False"
2006-01-01,14.577033194754362,14.018334053322759,14.657119330803292,14.189866280994593,14.764720783801794,14.518132186159141
2006-02-01,14.623079141282838,14.110093243500787,14.685768467440763,14.258571147828423,14.772713672054678,14.53612935650914
2006-03-01,14.66927025285651,14.202621708650616,14.713504341215248,14.325614032738875,14.78027487202586,14.552839502183415
2006-04-01,14.714530182396025,14.295586126161984,14.739910941350841,14.39063676266933,14.787347894256289,14.568226564257554
2006-05-01,14.75808189094134,14.38893877952997,14.764700344256598,14.453390514274744,14.793919160794882,14.582311719332207
2006-06-01,14.799693125026346,14.48275168904413,14.787762476032974,14.513669596622943,14.800023141894028,14.595155951355192
2006-07-01,14.839906423798816,14.577373466764561,14.809171678027102,14.571342259341279,14.805737233713826,14.60686087746426
2006-08-01,14.880366020552623,14.673485231778944,14.829134468178957,14.626329154008022,14.811160808025356,14.61755582552318
2006-09-01,14.925364668739686,14.773377915662742,14.848034360499367,14.678751199342326,14.816412360233864,14.627412796966235
2006-10-01,14.98242722264331,14.880448522857476,14.866352538870377,14.728872021918278,14.821593785740578,14.63661330186687
2006-11-01,15.01892657954827,14.948342234435358,14.885331411941914,14.77793442466989,14.826872964811932,14.645435567301808
2006-12-01,15.039713643475181,14.987250000436266,14.906941165766893,14.827974082365081,14.832427128382507,14.65419915297976
2007-01-01,15.041440648371585,15.002281373954302,14.931567663968258,14.876785526511602,14.838406912968946,14.663241971962371
2007-02-01,15.024956879334692,14.999841810932889,14.926466034865642,14.874551121441096,14.844971402194313,14.672971674771603
2007-03-01,14.989044689460382,14.978019845256988,14.912833215583316,14.863191051608005,14.85223481484526,14.683785162157989
2007-04-01,14.936342883107747,14.932694973011726,14.892107963778816,14.839167753846741,14.860268755328745,14.695912782872634
2007-05-01,14.87932547487376,14.871049731361506,14.869334003137215,14.803928926978063,14.868993599015829,14.709218820967203
2007-06-01,14.82469455803992,14.79185849040055,14.85140519760455,14.762716028863029,14.877900325148328,14.72231852185283
2007-07-01,14.778286723329407,14.694165717321546,14.840552760040385,14.71750414417881,14.885194990116577,14.730445602027956
2007-08-01,14.749372489429357,14.593260326682199,14.833714199168911,14.669488065332695,14.893685480999803,14.733333683115756
2007-09-01,14.745191820905625,14.511336842422667,14.829178073182138,14.624518859987926,14.90153238531764,14.73521274141065
2007-10-01,14.758751438912993,14.462839687813549,14.826610186014014,14.588436967588823,14.909235956008851,14.737627160000304
2007-11-01,14.772610145768818,14.444636410930956,14.827673056052198,14.565289286585866,14.917904783472462,14.741984204745693
2007-12-01,14.788291610814111,14.454668179835682,14.8355947176849,14.558790933388288,14.928859558560196,14.74963715498416
2008-01-01,14.80600664661473,14.484950835324613,14.852781720586812,14.571471679688006,14.942994586104744,14.761496354875302
2008-02-01,14.83340492791927,14.532598056840794,14.877765702571146,14.59994624326118,14.960101298193067,14.777596204340472
2008-03-01,14.877099741537817,14.591404435944431,14.907889785577273,14.637762748964708,14.978695466439262,14.796614350941597
2008-04-01,14.93503553850897,14.658318480996739,14.944943743026103,14.688750898612275,14.997535888022558,14.817607151793442
2008-05-01,14.99880362345948,14.733764447978539,14.990534058461224,14.755033826174532,15.015361779357116,14.839579187606988
2008-06-01,15.050983448423692,14.810955785841273,15.042272939853099,14.833815534375299,15.031334856992938,14.861830672965507
2008-07-01,15.087334161279202,14.897812056821149,15.096140336661666,14.920328395707763,15.045283321171508,14.883887353847413
2008-08-01,15.11874871079482,15.001071400307609,15.146900298690039,15.008018146853999,15.056822112497185,14.904658772291523
2008-09-01,15.157844746242027,15.11339879873548,15.185932452468851,15.083683638228415,15.065370098985616,14.922719303349627
2008-10-01,15.206078286319437,15.213800987791078,15.208094038060736,15.136170324825459,15.070086239915414,14.93782911952703
2008-11-01,15.258393702762119,15.284553955901217,15.214916709011527,15.163953118974227,15.069882746605025,14.949158027814272
2008-12-01,15.306721921587624,15.320969361302025,15.2101771523671,15.169411692740928,15.063234369555698,14.95457715327776
2009-01-01,15.330716933514031,15.31271884325086,15.19699487671084,15.154202790057244,15.049180952291591,14.95289111347072
2009-02-01,15.310769909955,15.263672213144998,15.17887690647365,15.124380087712202,15.028267145297775,14.944674175825854
2009-03-01,15.262565998060703,15.197001041315932,15.15526232572198,15.090885804501685,15.002027871386403,14.931141088992085
2009-04-01,15.212300148633023,15.1297957103537,15.122424849180181,15.0562335540319,14.973072144366107,14.914205705310565
2009-05-01,15.16336772552324,15.058192362965201,15.07759204906594,15.015137637139,14.944482774504646,14.896095088926995
2009-06-01,15.109915700645193,14.983709432881962,15.021209427213632,14.960646337774657,14.918032032930297,14.877317495705343
2009-07-01,15.040902967718234,14.902155120129436,14.955125450774801,14.890608368417034,14.893674233986845,14.856625974658714
2009-08-01,14.945289287272594,14.798560387398474,14.882426504719072,14.8063241202464,14.870415508897409,14.832776211723926
2009-09-01,14.825228575995688,14.667185189761865,14.811427436451583,14.717661785243708,14.846644165913869,14.804212417642914
2009-10-01,14.70030910339369,14.530341321569813,14.75008739337416,14.636954231177015,14.82117885278474,14.769656484331314
2009-11-01,14.607418367631862,14.428755085195888,14.704055025840072,14.574512774013051,14.792866007324776,14.728224856871142
2009-12-01,14.56637118487899,14.37881226101521,14.675390735058947,14.53530420196064,14.761400393955132,14.680705805693552
2010-01-01,14.578407949000075,14.389395110321884,14.66104268824613,14.518505228199073,14.727092911955971,14.62884717260029
2010-02-01,14.627762572527127,14.448631441095573,14.657129531135897,14.518714922790869,14.690863329701783,14.574666988346017
2010-03-01,14.68198259669218,14.519886574006161,14.65942683465654,14.518828008822123,14.654712954485591,14.521419706815871
2010-04-01,14.713853061032728,14.565808766103913,14.661864476335603,14.509669119460249,14.619795669873092,14.471434934382014
2010-05-01,14.7232230970523,14.571766055123279,14.655793610544592,14.484517768058094,14.587556625656454,14.427026539086059
2010-06-01,14.730284153175067,14.536402482353273,14.635955487871511,14.443194532660742,14.559193286669604,14.390729767410082
2010-07-01,14.7432843662372,14.481683891899044,14.605804441145034,14.392336266464168,14.535813833481349,14.36567789465828
2010-08-01,14.75233442537318,14.422649410683256,14.577129405573897,14.344911588314613,14.518215323976046,14.352941297595025
2010-09-01,14.741566264599511,14.373867162790564,14.559742482404298,14.31213033730614,14.505820946605269,14.350422576464778
2010-10-01,14.701966629898042,14.337353977391459,14.552864377262006,14.294816854252833,14.49685234689881,14.353814467655564
2010-11-01,14.642268844063207,14.304663394365276,14.550739952733874,14.28862971417097,14.489184146191507,14.35879259119077
2010-12-01,14.575165229783531,14.258040025764931,14.543080712913376,14.287901587800928,14.481890441770505,14.362902551060982
2011-01-01,14.50358044540211,14.19082165542036,14.52212946094271,14.291976916459836,14.475433428761008,14.365557923409506
2011-02-01,14.431104629226144,14.12275701740699,14.487811042324513,14.29631638809872,14.47095266730492,14.367448192821515
2011-03-01,14.366189531785187,14.081174787513703,14.445557879964435,14.296128483653147,14.469328536362497,14.37005479930234
2011-04-01,14.317452138191205,14.09603868787255,14.401375702616072,14.287688697152616,14.470294916185884,14.374184120533842
2011-05-01,14.294693817607111,14.173148344461902,14.363241279777414,14.27842170862403,14.472343308120779,14.379579751687453
2011-06-01,14.297809375797186,14.287963530891574,14.34166896491943,14.280015120603627,14.473766340048543,14.385548604944848
2011-07-01,14.320503716408284,14.392425427851792,14.341381046267305,14.29980161349763,14.473279452763341,14.390545318035246
2011-08-01,14.352495818983869,14.462622443147742,14.360552426423766,14.33888940427719,14.470498144767252,14.392585823279298
2011-09-01,14.389680527915747,14.501092803033849,14.394727322747354,14.39211607391497,14.465727705899868,14.391031294575484
2011-10-01,14.433346596135225,14.518235238771233,14.439045606500015,14.452252440542294,14.46030747103647,14.387686964402377
2011-11-01,14.477232397253559,14.535197373274093,14.485119754084716,14.509959109180539,14.456636544750777,14.385997441952046
2011-12-01,14.516677926930743,14.5581086706175,14.52515805221322,14.55652289525405,14.455646162570849,14.387445327718225
2012-01-01,14.553052613985486,14.589390220150428,14.554181169531056,14.581451709334177,14.456959393426429,14.391459897931481
2012-02-01,14.58522510103196,14.615237014255039,14.57081058131572,14.57978884089081,14.460527738306531,14.39705027460227
2012-03-01,14.614512808176665,14.618612393374978,14.573576585907468,14.549014201067067,14.46696502375929,14.403292190932198
2012-04-01,14.633777804260532,14.58411298261312,14.565839346697626,14.497676166776332,14.477480272601621,14.410350903523284
2012-05-01,14.630472508359782,14.508504711873007,14.554887104461475,14.439952220930403,14.493665518432724,14.419368759621348
2012-06-01,14.598945271655044,14.416509973645937,14.543026484366,14.38463025464475,14.516301134280813,14.431433607166605
2012-07-01,14.536688270131158,14.338540731575213,14.52981048248303,14.33750586131357,14.54436042019009,14.446686353298626
2012-08-01,14.465922670345101,14.30124329061072,14.519527291471283,14.305611466085466,14.576614742995062,14.466284721414352
