month,historical_mean,historical_min,historical_max,2026
1,2.3583870967741936,-1.1,4.551612903225807,2.0677419354838706
2,4.388362068965518,2.127586206896552,7.2821428571428575,5.992857142857143
3,8.990806451612901,7.103225806451612,10.87741935483871,9.832258064516129
4,13.770000000000001,11.376666666666667,15.723333333333333,15.603333333333333
5,18.53758064516129,17.45483870967742,19.661290322580644,19.496774193548386
6,22.0005,20.68,23.263333333333332,22.709999999999997
7,25.592419354838707,22.4,27.59032258064516,27.861290322580647
8,26.893548387096775,24.62258064516129,28.990322580645163,28.548387096774192
