period,year,month,hot_days_lower,hot_days_upper
2016-2025,2023,8,22,22
2016-2025,2023,9,8,8
2016-2025,2023,10,0,0
2016-2025,2023,11,0,0
2016-2025,2023,12,0,0
2016-2025,2024,1,0,0
2016-2025,2024,2,0,0
2016-2025,2024,3,0,0
2016-2025,2024,4,0,0
2016-2025,2024,5,3,3
2016-2025,2024,6,9,9
2016-2025,2024,7,16,16
2016-2025,2024,8,30,30
2016-2025,2024,9,20,20
2016-2025,2024,10,0,0
2016-2025,2024,11,0,0
2016-2025,2024,12,0,0
2016-2025,2025,1,0,1
2016-2025,2025,2,0,0
2016-2025,2025,3,0,0
2016-2025,2025,4,0,0
2016-2025,2025,5,0,0
2016-2025,2025,6,5,5
2016-2025,2025,7,26,26
2016-2025,2025,8,27,27
2016-2025,2025,9,13,13
2016-2025,2025,10,0,0
2016-2025,2025,11,0,0
2016-2025,2025,12,0,0
