period,year,month,tavg,observed_days
2016-2025,2017,4,15.063333333333334,30
2016-2025,2017,5,19.661290322580644,31
2016-2025,2017,6,22.116666666666667,30
2016-2025,2017,7,27.135483870967743,31
2016-2025,2017,8,27.299999999999997,31
2016-2025,2017,9,22.226666666666667,30
2016-2025,2017,10,17.532258064516128,31
2016-2025,2017,11,9.729999999999999,30
2016-2025,2017,12,2.003225806451613,31
2016-2025,2018,1,0.29354838709677417,31
2016-2025,2018,2,2.582142857142857,28
2016-2025,2018,3,9.083870967741936,31
2016-2025,2018,4,14.363333333333333,30
2016-2025,2018,5,18.129032258064516,31
2016-2025,2018,6,21.69333333333333,30
2016-2025,2018,7,27.051612903225806,31
2016-2025,2018,8,27.52258064516129,31
2016-2025,2018,9,21.296666666666667,30
2016-2025,2018,10,15.129032258064516,31
2016-2025,2018,11,10.086666666666668,30
2016-2025,2018,12,3.1870967741935483,31
2016-2025,2019,1,2.4387096774193546,31
2016-2025,2019,2,4.514285714285714,28
2016-2025,2019,3,9.238709677419354,31
2016-2025,2019,4,12.596666666666666,30
2016-2025,2019,5,18.896774193548385,31
2016-2025,2019,6,21.016666666666666,30
2016-2025,2019,7,24.429032258064513,31
2016-2025,2019,8,26.693548387096776,31
2016-2025,2019,9,22.703333333333333,30
2016-2025,2019,10,17.364516129032257,31
2016-2025,2019,11,11.139999999999999,30
2016-2025,2019,12,4.72258064516129,31
2016-2025,2020,1,4.551612903225807,31
2016-2025,2020,2,5.396551724137931,29
2016-2025,2020,3,9.329032258064515,31
2016-2025,2020,4,11.926666666666668,30
2016-2025,2020,5,17.893548387096775,31
2016-2025,2020,6,22.756666666666668,30
2016-2025,2020,7,22.4,31
2016-2025,2020,8,27.519354838709678,31
2016-2025,2020,9,21.486666666666668,30
2016-2025,2020,10,16.04193548387097,31
2016-2025,2020,11,10.693333333333333,30
2016-2025,2020,12,2.641935483870968,31
2016-2025,2021,1,1.3645161290322583,31
2016-2025,2021,2,5.485714285714286,28
2016-2025,2021,3,10.429032258064517,31
2016-2025,2021,4,14.076666666666666,30
2016-2025,2021,5,17.725806451612904,31
2016-2025,2021,6,21.8,30
2016-2025,2021,7,26.54516129032258,31
2016-2025,2021,8,26.219354838709677,31
2016-2025,2021,9,22.503333333333334,30
2016-2025,2021,10,17.43548387096774,31
2016-2025,2021,11,10.773333333333333,30
2016-2025,2021,12,4.158064516129032,31
2016-2025,2022,1,1.993548387096774,31
2016-2025,2022,2,2.2535714285714286,28
2016-2025,2022,3,9.480645161290322,31
2016-2025,2022,4,14.573333333333332,30
2016-2025,2022,5,19.129032258064516,31
2016-2025,2022,6,22.14,30
2016-2025,2022,7,26.65806451612903,31
2016-2025,2022,8,26.40967741935484,31
2016-2025,2022,9,22.533333333333335,30
2016-2025,2022,10,16.51290322580645,31
2016-2025,2022,11,12.463333333333333,30
2016-2025,2022,12,1.6161290322580646,31
2016-2025,2023,1,2.02258064516129,31
2016-2025,2023,2,4.896428571428571,28
2016-2025,2023,3,10.87741935483871,31
2016-2025,2023,4,14.129999999999999,30
2016-2025,2023,5,17.97741935483871,31
2016-2025,2023,6,22.543333333333333,30
2016-2025,2023,7,25.73548387096774,31
2016-2025,2023,8,27.741935483870968,31
2016-2025,2023,9,24.12,30
2016-2025,2023,10,16.970967741935485,31
2016-2025,2023,11,10.283333333333333,30
2016-2025,2023,12,4.693548387096774,31
2016-2025,2024,1,3.303225806451613,31
2016-2025,2024,2,6.041379310344827,29
2016-2025,2024,3,8.803225806451612,31
2016-2025,2024,4,15.723333333333333,30
2016-2025,2024,5,19.009677419354837,31
2016-2025,2024,6,23.09,30
2016-2025,2024,7,26.903225806451612,31
2016-2025,2024,8,28.990322580645163,31
2016-2025,2024,9,26.543333333333333,30
